"No.","Time","Source","Destination","Protocol","Length","Info"
"20742","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20743","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20744","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20745","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20746","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20747","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20748","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20749","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20750","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20751","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20752","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20753","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20754","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20755","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20756","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20757","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20758","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20759","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20760","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20761","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20762","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20763","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20764","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20765","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20766","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20767","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20768","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20769","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20770","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20771","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20772","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20773","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20774","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20775","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20776","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20777","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20778","516.884065","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20779","516.884387","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20780","516.884387","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
"20781","516.884387","173.194.25.39","192.168.50.94","QUIC","1292","Protected Payload (KP0)"
